pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619331458.59413,1.00053,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,16,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331458.80770,1.00042,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,18,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331459.53683,1.00039,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,18,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331459.58270,1.00023,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,19,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331459.59456,1.00043,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,17,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331459.80826,1.00056,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,19,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331460.53762,1.00079,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,19,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331460.58350,1.00080,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,20,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331460.59514,1.00058,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,18,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331460.80929,1.00103,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,20,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331461.53804,1.00042,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,20,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331461.58400,1.00050,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,21,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331461.59579,1.00065,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,19,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331461.81047,1.00118,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,21,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331462.53754,0.99950,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,21,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331462.58469,1.00069,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,22,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331462.59623,1.00044,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,20,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331462.81095,1.00048,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,22,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331463.53769,1.00015,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,22,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331463.58503,1.00034,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,23,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331463.59688,1.00065,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,21,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331463.81333,1.00238,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,23,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331464.53751,0.99982,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,23,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331464.58538,1.00035,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,24,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331464.59802,1.00114,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,22,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331464.81385,1.00052,99,255,4,142,1231,2000,BFP,231,1619331439,0,1,1,24,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331465.53716,0.99965,32,255,2,147,1121,2000,PIOC,121,1619331440,0,1,1,24,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331465.58577,1.00039,23,255,1,147,1111,2000,PIOC,111,1619331439,0,1,1,25,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331465.59876,1.00074,11,255,3,152,1131,2000,PIOC,131,1619331441,0,1,1,23,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
