pkt arrive time in UTC,,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1609744810.56525,0,0.99993,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,31,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744810.82644,0,1.00052,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,31,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744811.45588,0,1.00056,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,33,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744811.53359,0,1.00095,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,33,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744811.56646,0,1.00121,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,32,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744811.82757,0,1.00113,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,32,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744812.45710,0,1.00122,32,255,2,147,1121,2000,PIOC,121,1609744777,0,1,1,34,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744812.53376,0,1.00017,23,255,1,147,1111,2000,PIOC,111,1609744777,0,1,1,34,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744812.56685,0,1.00039,99,255,4,142,1231,2000,BFP,231,1609744778,0,1,1,33,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609744812.82794,0,1.00037,11,255,3,152,1131,2000,PIOC,131,1609744778,0,1,1,33,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
